Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
5398,-19104,5876,128,949,-2510,-14406,-2506
5407,-20056,5612,-964,791,-1674,-14898,-1895
5416,-21812,6344,-1412,794,-420,-15457,-1180
5425,-22532,5664,-1608,795,673,-16139,-368
5434,-21804,5400,-1112,793,1343,-16845,357
5443,-20716,4484,-392,800,1471,-17814,972
5452,-19876,4288,-892,803,869,-18550,1538
5461,-19416,4544,-488,837,-314,-18973,2024
5560,-28664,2404,8716,824,-1435,-18387,1290
5569,-27048,2124,8288,824,-908,-18118,895
5578,-23872,1480,6388,824,-394,-18197,538
5587,-23396,2392,6424,808,230,-18111,417
5596,-24756,5960,7760,814,619,-17788,244
5605,-25916,7476,8452,813,13,-17228,48
5614,-24960,7080,9004,810,-1182,-16578,-192
5623,-22428,6256,8356,815,-1740,-16193,-323
5632,-18648,4692,7300,813,-1839,-16266,-376
5641,-17664,5504,7884,810,-961,-16331,-378
5740,-17516,3372,7048,814,2574,-13761,1941
5749,-18372,4668,5624,818,1485,-13963,2575
5758,-18088,4036,3040,816,638,-14293,3257
5767,-19184,2688,1960,816,-32,-14347,4037
5776,-18996,2184,2604,816,-477,-14407,4964
5785,-19896,2484,3676,822,-963,-14454,6105
5794,-22096,1968,4708,822,-1991,-14575,7272
5803,-23028,4160,4300,822,-4192,-14564,8475
5812,-25096,5940,2824,823,-6688,-14544,9726
5821,-27896,7344,2228,828,-9539,-14611,11109
5920,-24096,724,10028,824,-13339,-8394,18102
5929,-23864,2300,9476,901,-10747,-7639,18374
5938,-23768,3364,10480,871,-8876,-7176,18883
5947,-21772,3120,11776,852,-6803,-6624,19541
5956,-20688,2536,11568,845,-5736,-6258,20245
5965,-19192,3876,13112,851,-4916,-5939,21034
5974,-18088,5052,12628,840,-5107,-5724,21763
5983,-15844,5316,13308,842,-6013,-5288,22387
5992,-13892,5320,13792,868,-7267,-4837,23017
6001,-12000,8272,14916,849,-9863,-4499,23501
6100,-1500,12264,26356,849,32767,21059,19112
6109,1204,13744,22560,836,32767,26129,17731
6118,2712,14688,18712,835,32767,30951,15947
6127,4004,14444,15032,836,32767,32767,13725
6136,4976,13096,11464,838,32767,32767,11219
6145,5668,11320,7840,835,32767,32767,8609
6154,6444,9140,4908,840,32767,32767,5957
6163,7136,7040,2880,835,32767,32767,3335
6172,8000,4356,1828,844,32767,32767,710
6181,7924,1876,1836,839,32767,32767,-1878
6280,1412,-904,5164,834,20391,13896,-19850
6289,132,-1944,5092,836,15300,10712,-19138
6298,-2252,-1812,5888,838,13015,7873,-18225
6307,-3592,-1236,6448,839,12204,5330,-17198
6316,-4144,-660,6208,837,12086,2929,-16306
6325,-4348,-344,5840,839,11994,713,-15372
6334,-5928,384,5824,841,11855,-1336,-14397
6343,-5880,1704,6500,835,10908,-3425,-13434
6352,-5636,4052,6900,836,7857,-5478,-12480
6361,-5836,6004,9588,838,1785,-7529,-11406
6460,-17932,4068,1860,833,1031,-16502,-1664
6469,-19600,5748,1960,839,961,-17096,-1158
6478,-21316,7024,1408,842,767,-17574,-504
6487,-21784,8080,1456,837,108,-18177,497
6496,-22532,9540,1236,836,-513,-18913,1493
6505,-23640,6108,4636,881,-1468,-19727,2453
6514,-24112,6464,5760,861,-3632,-19667,3064
6523,-22928,4632,4052,845,-5381,-20052,3333
6532,-22476,3032,5376,855,-6150,-20431,3494
6541,-22264,604,6880,845,-6882,-20602,3329
6640,-23948,7496,7972,845,-3496,-19744,1581
6649,-24376,7368,9128,843,-3591,-19191,1238
6658,-23988,6748,12552,842,-3696,-18405,984
6667,-22656,6860,13264,841,-3664,-17747,705
6676,-19968,4224,11728,846,-2937,-17466,386
6685,-17844,2816,9472,841,-1960,-17509,98
6694,-17472,1828,7208,849,-795,-17500,-156
6703,-16892,3280,8168,851,586,-17238,-452
6712,-15320,3040,9720,847,2184,-16766,-620
6721,-13820,2752,10300,848,3179,-16411,-529
6820,-23540,4088,-3016,840,-2809,-16775,6298
6829,-26296,6796,-4732,850,-5624,-17082,7977
6838,-27576,7596,-4356,847,-9698,-17270,9687
6847,-29132,8848,-1912,847,-14468,-17246,11316
6856,-30124,7988,-524,845,-19909,-17185,12787
6865,-30256,7124,-108,847,-25551,-17008,14062
6874,-32016,6312,168,849,-29888,-16383,15060
6883,-32768,4036,-332,849,-32692,-15586,15744
6892,-32768,852,-440,849,-32768,-14585,16060
6901,-32768,-1268,-4,871,-31888,-13672,16267
7000,-14604,7296,16824,872,-4848,-6254,20721
7009,-12436,10716,18828,847,-8978,-5722,21124
7018,-11776,15180,17776,852,-17043,-5167,21292
7027,-12224,14204,14648,847,-26800,-4223,21278
7036,-12880,13344,11704,848,-32768,-2772,21137
7045,-13976,7300,13472,844,-32768,-990,20990
7054,-17104,6536,21172,845,-26546,539,20817
7063,-19172,10712,29176,848,-18121,1912,20394
7072,-18756,11068,29676,847,-13290,4269,20107
7081,-16644,8156,29232,853,-5045,7324,20145
7180,1552,8080,3128,846,32767,32767,6545
7189,1944,5664,3108,875,32767,32767,4063
7198,2804,3632,5568,863,32767,32767,1043
7207,3796,1376,8068,857,32767,32767,-2245
7216,5048,-216,10740,856,32767,32767,-5692
7225,5152,-1380,9964,850,32767,32767,-9052
7234,4844,-2788,8452,851,32767,32767,-12048
7243,5276,-3540,6844,849,32767,32767,-14316
7252,5596,-2280,5124,849,32767,31825,-16069
7261,5888,-2104,4768,848,32767,28122,-17206
7360,-2812,2340,5856,845,745,-2152,-11955
7369,-3388,2044,5720,853,-1094,-3703,-10939
7378,-3676,2284,6924,856,-2323,-5175,-10139
7387,-3636,1616,7628,854,-3332,-6676,-9349
7396,-6128,2740,8448,853,-4226,-8130,-8573
7405,-7644,5400,9864,851,-6572,-9721,-7831
7414,-8752,3256,11416,855,-9677,-11677,-7098
7423,-8468,452,11248,852,-7598,-13348,-6167
7432,-7904,3260,6740,854,-5081,-14431,-5271
7441,-9676,3304,4232,853,-3448,-15186,-4685
7540,-22800,11712,3216,846,1108,-21877,879
7549,-22680,11444,4864,858,-1382,-22318,1438
7558,-23956,9020,7484,854,-3709,-22690,1645
7567,-27168,7048,9760,856,-5483,-22911,1591
7576,-29164,5120,8908,860,-6251,-22806,1356
7585,-28968,5660,9084,883,-5961,-22676,1095
7594,-28072,5980,9544,866,-5172,-22644,885
7603,-28504,6460,11372,864,-4403,-22520,749
7612,-29804,8256,11376,860,-4282,-22207,778
7621,-30068,7336,8404,855,-3364,-21990,848
7720,-15912,7796,7996,856,1270,-19229,597
7729,-16572,5988,7832,861,-464,-18939,1030
7738,-16740,5652,7744,861,-1897,-18615,1300
7747,-15388,2996,6644,861,-3123,-18520,1430
7756,-13636,672,6208,861,-3348,-18754,1542
7765,-13700,1980,5680,863,-3029,-18853,1723
7774,-15700,2868,5644,861,-2281,-18681,2021
7783,-17948,4424,5704,862,-1593,-18519,2418
7792,-19508,5192,6848,860,-1615,-18221,2936
7801,-21772,6904,7880,858,-2223,-17816,3705
7900,-29104,7352,2332,858,-27276,-12287,15232
7909,-28076,4316,3096,880,-24639,-11232,15481
7918,-26208,1920,3672,4,-20262,-10084,15508
7927,-24572,1240,6616,3,-15258,-9154,15489
7936,-23584,1092,5776,3,-10200,-8646,15571
7945,-24420,2136,6500,4,-7019,-8386,15881
7954,-24708,1796,8272,3,-5375,-8172,16434
7963,-23900,5524,8880,849,-4436,-8003,17125
7972,-24068,6372,9724,841,-4105,-7891,17944
7981,-23476,7144,9156,844,-4650,-7609,18793
8080,-18764,2396,25312,837,-30604,-2133,21538
8089,-19024,3040,27252,3,-14726,417,21203
8098,-17876,5824,28780,4,2275,4052,20738
8107,-15080,9252,28572,1,17124,8173,20083
8116,-10756,12284,28108,3,27950,12844,19263
8125,-5896,13064,27900,106,32767,17737,18372
8134,-1388,12744,25728,807,32767,22657,17358
8143,2052,13568,22916,802,32767,27423,16034
8152,4028,13372,19312,800,32767,31811,14311
8161,5108,12288,15848,800,32767,32767,12294
8260,6140,-4816,9064,798,32767,32767,-18495
8269,6252,-4076,7840,785,32767,32767,-20367
8278,4540,-2532,3628,784,32767,29990,-21575
8287,3248,-772,1620,788,32767,26058,-22050
8296,3496,-832,208,789,26508,22488,-21925
8305,3640,-2224,1140,790,21849,19102,-21490
8314,2592,-2904,2080,792,19936,15843,-20768
8323,1736,-1712,3732,809,19295,12735,-19830
8332,1156,-340,4700,801,18011,9777,-18876
8341,-720,1404,5844,798,15485,6960,-17957
